text,label,category
Bank Alert: Aapka ATM card band hone wala hai. Foran tasdeeqi code aur expiry date send karein.,1,ROMAN_URDU_SCAM
Muaziz Sarif: Aapka HBL account block ho chuka hai. Foran helpline 0306732332 pe call karein ya apna OTP share karein.,1,ROMAN_URDU_SCAM
BISP Benazir Income Support Program: Mubarak ho! Aapko 25000 Rs ki mali imdad manzoor ho gayi hai. Apna CNIC aur pin send karein.,1,ROMAN_URDU_SCAM
Bank Alert: Aapka ATM card band hone wala hai. Foran tasdeeqi code aur expiry date send karein.,1,ROMAN_URDU_SCAM
Lucky Draw winner: Aapki family k liye Umrah package nikla hai. Confirmation k liye apna bank account number aur OTP foran bataein.,1,ROMAN_URDU_SCAM
Ehsaas Rashan Riayat: 12000 rupay ka muft rashan hasil karne k liye foran is link pe click karein aur apna shanakhti card number likhein: http://portal-verify.tk/urdu,1,ROMAN_URDU_SCAM
FIA Cyber Crime Wing Notice: Aapke number se ghair qanooni activities record hui hain. Giraftari se bachne k liye foran jurmana ada karein.,1,ROMAN_URDU_SCAM
Urgent bhai main hospital main phans gaya hun hadsa ho gaya hai foran 10000 rs easypaisa ya jazzcash kar do zaroori hai.,1,ROMAN_URDU_SCAM
Bank Alert: Aapka ATM card band hone wala hai. Foran tasdeeqi code aur expiry date send karein.,1,ROMAN_URDU_SCAM
FIA Cyber Crime Wing Notice: Aapke number se ghair qanooni activities record hui hain. Giraftari se bachne k liye foran jurmana ada karein.,1,ROMAN_URDU_SCAM
Urgent bhai main hospital main phans gaya hun hadsa ho gaya hai foran 10000 rs easypaisa ya jazzcash kar do zaroori hai.,1,ROMAN_URDU_SCAM
Bank Alert: Aapka ATM card band hone wala hai. Foran tasdeeqi code aur expiry date send karein.,1,ROMAN_URDU_SCAM
Ghar bethay rozana 5000 se 10000 kamayein baghair kisi mehnat k. Registration fee sirf 1500 rs send karein is number pe: 0332358179,1,ROMAN_URDU_SCAM
FIA Cyber Crime Wing Notice: Aapke number se ghair qanooni activities record hui hain. Giraftari se bachne k liye foran jurmana ada karein.,1,ROMAN_URDU_SCAM
Ghar bethay rozana 5000 se 10000 kamayein baghair kisi mehnat k. Registration fee sirf 1500 rs send karein is number pe: 0327642647,1,ROMAN_URDU_SCAM
BISP Benazir Income Support Program: Mubarak ho! Aapko 25000 Rs ki mali imdad manzoor ho gayi hai. Apna CNIC aur pin send karein.,1,ROMAN_URDU_SCAM
BISP Benazir Income Support Program: Mubarak ho! Aapko 25000 Rs ki mali imdad manzoor ho gayi hai. Apna CNIC aur pin send karein.,1,ROMAN_URDU_SCAM
BISP Benazir Income Support Program: Mubarak ho! Aapko 25000 Rs ki mali imdad manzoor ho gayi hai. Apna CNIC aur pin send karein.,1,ROMAN_URDU_SCAM
PTA Mobile Registration: Aapka phone 24 ghante main block ho jayega. PTA tax foran is account main jama karwayein.,1,ROMAN_URDU_SCAM
PTA Mobile Registration: Aapka phone 24 ghante main block ho jayega. PTA tax foran is account main jama karwayein.,1,ROMAN_URDU_SCAM
Lucky Draw winner: Aapki family k liye Umrah package nikla hai. Confirmation k liye apna bank account number aur OTP foran bataein.,1,ROMAN_URDU_SCAM
Bank Alert: Aapka ATM card band hone wala hai. Foran tasdeeqi code aur expiry date send karein.,1,ROMAN_URDU_SCAM
